"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Rutina season - F. resistencia - Running","Strength","","","","2026-01-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-01-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORE. Rutina season - F. resistencia - Running","Strength","","","","2026-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESCANS","Day Off","DIA DE DESCANS Aprofita per recuperar i fer coses amb els amics, familia...","","","2026-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000m x 6 (z4) R.500m","Run","pre entreno: beure 1 bido amb isotinc post entreno: beure 1 bido amb recovery","1.24222222222222","17000","2026-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SERIES PROGRESSIVES SET 3 (Bloc 1)","Bike","SERIES PROGRESSIVES SETMANA 3 Important escalfar bé i aprofitar per anar fins a la pujada on faras les series (6-8%) *Pujar a ritme de FTP i recuperar pujant suau Series: - 7 minuts a FTP x 2 (recuperant 7 minuts) - Recuperes rodant fins a la següent pujada 10 minuts 20-30 min - 7 minuts a FTP x 2 (recuperant 7 minuts) Tornes fins a casa rodant suau","2.1","","2026-01-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-01-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-01-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Rutina season - F. resistencia - Running","Strength","","","","2026-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORE. Rutina season - F. resistencia - Running","Strength","","","","2026-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESCANS","Day Off","DIA DE DESCANS Aprofita per recuperar i fer coses amb els amics, familia...","","","2026-01-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000m x 6 (z4) R.250m","Run","pre entreno: beure 1 bido amb isotinc post entreno: beure 1 bido amb recovery","1.08888888888889","15500","2026-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SERIES PROGRESSIVES SET 3 (Bloc 1)","Bike","SERIES PROGRESSIVES SETMANA 3 Important escalfar bé i aprofitar per anar fins a la pujada on faras les series (6-8%) *Pujar a ritme de FTP i recuperar pujant suau Series: - 7 minuts a FTP x 2 (recuperant 7 minuts) - Recuperes rodant fins a la següent pujada 10 minuts 20-30 min - 7 minuts a FTP x 2 (recuperant 7 minuts) Tornes fins a casa rodant suau","2.1","","2026-01-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Rutina season - F. resistencia - Running","Strength","","","","2026-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORE. Rutina season - F. resistencia - Running","Strength","","","","2026-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESCANS","Day Off","DIA DE DESCANS Aprofita per recuperar i fer coses amb els amics, familia...","","","2026-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000m x 5 (z4) R.250m","Run","pre entreno: beure 1 bido amb isotinc post entreno: beure 1 bido amb recovery","1.25527777777778","18250","2026-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SERIES PROGRESSIVES SET 3 (Bloc 1)","Bike","SERIES PROGRESSIVES SETMANA 3 Important escalfar bé i aprofitar per anar fins a la pujada on faras les series (6-8%) *Pujar a ritme de FTP i recuperar pujant suau Series: - 7 minuts a FTP x 2 (recuperant 7 minuts) - Recuperes rodant fins a la següent pujada 10 minuts 20-30 min - 7 minuts a FTP x 2 (recuperant 7 minuts) Tornes fins a casa rodant suau","2.1","","2026-02-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORE. Rutina season - F. resistencia - Running","Strength","","","","2026-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORE. Rutina season - F. resistencia - Running","Strength","","","","2026-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESCANS","Day Off","DIA DE DESCANS Aprofita per recuperar i fer coses amb els amics, familia...","","","2026-02-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5000m x 2 (z4) R.250m","Run","pre entreno: beure 1 bido amb isotinc post entreno: beure 1 bido amb recovery","0.86","12500","2026-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","3","","2026-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TÈCNICA NATACIÓ","Swim","Iniciar amb un bloc d'estiraments dinàmics de extremitats superior (sobretot espatlles) + tronc + extremitat inferiors (sobretot guanyar flexió dorsal del peu) Focalitzar atenció de la sessió en treballar la tècnica nedant. (Ideal si pots quedar amb algu perquè t'ensenyi). Fer 1000 metres •⁠ ⁠300 lliures suaus •⁠ ⁠100m punt mort amb suro ( https://youtu.be/-tmXyXsJUoA?si=c4Jr2Ax1dZCSe9IC ) •⁠ ⁠100m punt mort sense suro •⁠ ⁠100m exercici rotació (canvi de costat cada 25m) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici rotació (canvi cada 6-8 patades més o menys)( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠100m exercici fase de recuperacio a prop del cos (com si tanques una cremellera a prop del cos, ""zip"", com diuen en el video) ( https://www.youtube.com/watch?v=fcoNzQYX6Vw ) •⁠ ⁠200 suaus","0.641111111111111","1000","2026-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESCANS","Day Off","DIA DE DESCANS Aprofita per recuperar i fer coses amb els amics, familia...","","","2026-02-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CORE. Rutina season - F. resistencia - Running","Strength","","","","2026-02-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.701944444444444","10000","2026-02-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUTA EXTENSIVA CARRETERA (Pot. mitjana 190)","Bike","RUTA EXTENSIVA CARRETERA Buscar una ruta i acumular desnivell (màxim 1500+) . Es recomenable fer-la en grup i disfrutar de la companyia dels amics, ja que a mesura que s'acosten les curses serà més complicat.","1.5","","2026-02-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESCANS","Day Off","DIA DE DESCANS Aprofita per recuperar i fer coses amb els amics, familia...","","","2026-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.Continua suau z2","Run","","0.421111111111111","6000","2026-02-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
